unit,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N_GE4,DOM,Y25-44,AT	171155 	178807 	170762 	198391 	213157 	248345 	206217 	185640 	273044 	238724 	263952 	529053 	257077 	: 	: 	299174 	336002 	273227 	318022 	286900 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,BE	88847 b	58413 u	83753 u	78095 	96075 	117025 	145685 	115761 	195692 	182342 	125327 	188384 	194071 	196547 	179960 	155120 	185533 	: 	230591 	208339 	: 	291399 	: 	: 
NR,N_GE4,DOM,Y25-44,BG	570580 	517286 	550525 	470284 	350363 	270222 b	416136 e	440669 e	574740 e	428811 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,CH	: 	128160 u	149722 u	150348 u	197197 u	209423 u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,CY	33468 e	33088 e	42686 e	27548 e	28816 e	19109 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,CZ	824764 	891544 	879118 	956815 	855078 	788280 	777480 	1085422 	1040074 e	903333 e	849232 	804202 	890672 	905400 	899815 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,DE	2564380 	2978744 	3375571 	3344243 	2992512 	3466545 	4676658 	5490014 	6115776 e	5410444 	4699086 	6429135 	6707778 	5373000 	4745000 	4930000 	6651000 	5574000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,Y25-44,DK	: 	351456 	255289 	296853 	267217 	284558 	271135 	151788 	105659 	124816 	181100 	181100 	252810 	272855 	367400 	303200 	295800 	266600 	293000 	364200 	282000 	341500 	: 	: 
NR,N_GE4,DOM,Y25-44,EE	54473 u	51884 u	40150 	45026 	42219 	52988 b	: u	: u	29889 	: u	33796 	: u	: u	: u	31984 e	45650 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,EL	922699 	800243 	856058 	1032930 	829766 	935493 	997047 	1002551 	1369799 	1312689 	1410267 	1457912 	1581405 	1068017 	1271849 	1258593 	1222201 	1425454 	1250551 	: 	1754896 	: 	1006267 	1006267 
NR,N_GE4,DOM,Y25-44,ES	4464837 	4676872 	4686026 b	3996622 	4160055 	4185688 	4409883 	4015495 	4465554 	4861916 	4790155 	5197047 	4664574 	3937183 	4568162 	4417444 	4551317 	6438167 	6438167 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,FI	394439 	405347 	438957 	434689 	363387 	367759 b	359000 	342000 	337000 	347000 	421000 	301000 	348000 	420000 	433000 	418000 	445000 	471000 	420000 	476000 	464000 	445000 	: 	476000 
NR,N_GE4,DOM,Y25-44,FR	6603140 	7650201 	7827752 	8010595 	8258945 	8472375 	8835221 	8599355 	9083645 	9062006 	8826415 	8925525 	9642095 	8073000 	8383000 	: 	8667000 	8579000 	8536000 	8699000 	8923000 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,HR	320050 	317067 	269562 b	272502 	221579 	327290 	331284 	424853 	422095 	408754 	360616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,HU	: 	551518 	575367 	555675 	618391 	571954 b	561747 	892023 	930604 	1093770 	656184 	815084 	1052570 	652338 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,IE	123719 	115349 	140025 	139106 	127038 	124021 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41986 	: 	: 
NR,N_GE4,DOM,Y25-44,IT	3851720 	4032090 	4230609 	3803418 b	4817033 	6117859 	5376654 	5855917 	6077377 	5985880 	7334006 	7497404 	7406611 	7365278 	7495430 	7318888 	7281638 	7061852 	6542374 	6644115 	7198136 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,LT	47075 	52432 	56195 	55990 	49811 	44162 	82423 	85389 	172555 	121123 	53115 	54312 	49843 	78648 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,LU	: 	: c	0 u	307 	0 u	0 	0 	531 	: u	: u	: u	: 	0 	: 	: 	: 	: 	: 	1000 	: 	1000 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,LV	44649 	37705 	34768 	25096 	55025 	31461 	42542 	73647 	77954 	64412 	65633 	81277 	74184 	97625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,MT	8624 u	8374 u	8912 	7896 	6671 	8215 b	8009 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,NL	643391 	697116 	725050 	801675 	886349 	859722 b	511000 	621000 	670000 	630000 	678000 	742000 	737000 	818000 	739000 	715000 	991000 	: 	1018000 	1075000 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,NO	178030 	164207 	: 	: 	151490 	: 	233964 	262879 	262879 	219354 	252916 	358801 	289726 	317049 	334685 	317163 	349911 	372913 	418665 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,PL	3716193 	3520415 	3376772 	2831585 	3790000 	3170000 	2596000 e	2733000 	2962000 	2911000 	2806000 	2438000 	2937000 	2838000 e	3040000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,PT	566486 	624486 	596925 	567902 	641444 	504362 	527211 	551905 	695968 	432434 	421886 	733492 	733212 	788522 	699132 	880625 	923992 	858632 	854799 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,RO	666323 	642939 	693785 	683584 	751210 	785887 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,SE	223835 	258298 	275072 	258000 	: 	1082846 	1082042 	1092260 	1016347 	1048814 	989663 	1066317 	: 	: 	: 	: 	: 	: 	: 	: 	1280000 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,SI	32681 	35255 	40645 	45483 e	41244 e	40595 	44000 	52000 	69000 	53327 	69014 	47174 	57226 	62912 	65776 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,SK	310409 	356061 	361641 	268851 	236538 b	234425 	293831 	280505 	334106 	297613 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y25-44,UK	: 	2818080 	2476000 	2837500 	3127100 	3734000 	3876000 	3439000 	3194000 	3214000 	3194000 	3894000 	3818000 	2700000 	3120000 	5480000 	3900000 	3770000 	4730000 	5740000 	6230000 	5990000 	: 	: 
NR,N_GE4,DOM,Y35-44,AT	114876 u	91156 u	106256 	113545 	140116 	184406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,BE	48877 b	: c	54353 u	59855 	41923 	70575 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,BG	305825 	307310 	284928 	228595 	187214 	129329 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,CH	: 	74277 u	93494 u	108467 u	99619 u	96684 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,CY	16748 e	16605 e	20809 e	15180 e	14037 e	9035 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,CZ	428407 	523061 	515187 	533025 	501518 	352886 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,DE	1278830 	1899758 	2041216 	1712046 	1948712 	1861890 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,DK	: 	191406 	141667 	172599 	154922 	182727 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,EE	: c	: c	18798 	23155 	16763 	24647 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,EL	567623 	474407 	508820 	600314 	496529 	519839 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,ES	2836889 	2907618 	2835818 b	2488081 	2566456 	2548284 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,FI	196513 	203723 	226424 	208992 	176885 	174302 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,FR	3801124 	4275938 	4426688 	4430608 	4670004 	4708452 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,HR	186399 	164896 	162141 b	180925 	92158 	172309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,HU	: 	333746 	342049 	336606 	372493 	342549 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,IE	87756 	74481 	93974 	84175 	83049 	79142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,IT	2337828 	2759909 	2879904 	2465164 b	3370133 	4313490 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,LT	18695 	21115 	21401 	22222 	17781 	16634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,LU	: 	: c	0 u	307 	0 u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,LV	24606 	12481 	11876 	10109 	18277 	8907 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,MT	4588 u	: c	3350 	3130 	2435 	4584 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,NL	343593 	401798 	380046 	438318 	438725 	458826 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,NO	94844 	87360 	: 	: 	84170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,PL	1894878 	1758797 	1719298 	1389081 	1730000 	1250000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,PT	418387 	460196 	397869 	368211 	396866 	332301 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,RO	328960 	308708 	331491 	320190 	359375 	377316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,SE	167399 	133720 	125372 	157850 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,SI	16052 u	25997 	20318 	25102 e	26490 e	25545 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,SK	219673 	141464 	195366 	154796 	156568 b	116599 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y35-44,UK	: 	1405730 	1253000 	1585700 	1767500 	1769000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,AT	132181 	114057 	144808 	118948 	123105 	127540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,BE	43166 b	: c	: c	35703 	35291 	68079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,BG	231463 	191147 	188506 	157274 	153081 	89629 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,CH	: 	87846 u	98532 u	112385 u	75442 u	117610 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,CY	12054 e	12189 e	12484 e	11517 e	7420 e	7748 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,CZ	391519 	366736 	355333 	312687 	260731 	254635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,DE	1408546 	2109306 	1957455 	2036550 	1706368 	1825818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,DK	: 	153148 	161527 	160311 	167056 	144522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,EE	: c	: c	15098 	16097 	12226 u	12124 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,EL	528800 	438901 	457060 	481887 	395678 	444310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,ES	2352565 	2440384 	2173752 b	2060791 	2138095 	2031030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,FI	180328 	170462 u	158070 	195127 	193678 	222308 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,FR	3079579 	3121293 	3241104 	3385561 	3229725 	3320025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,HR	159743 	129127 	148380 b	130395 	130290 	126289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,HU	: 	258383 	241769 	249556 	243198 	242362 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,IE	63075 	49685 	46558 	66963 	66160 	65559 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,IT	2468090 	2188644 	2725872 	2463898 b	2243778 	2878432 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,LT	17745 	19649 	23486 	22738 	21848 	17310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,LU	: 	: c	0 u	0 u	304 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,LV	11452 	21365 	16543 	16940 	20079 	19380 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,MT	: c	: c	1952 	5754 	4632 	4220 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,NL	379985 	420646 	404631 	372082 	342105 	427589 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,NO	106257 	105316 	: 	: 	96870 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,PL	1125000 	1089086 	1057970 	1084628 	1220000 	1040000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,PT	320627 	325950 	306403 	264819 	260964 	213126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,RO	205130 	184388 	179363 	182779 	188261 	180822 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,SE	189918 	173560 	159074 	181250 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,SI	17727 	22319 	23560 	22787 e	25415 e	26764 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,SK	102858 	80293 	77747 	84166 	77980 b	89195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-54,UK	: 	1302010 	1179000 	2253300 	1618400 	1764000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,AT	254190 	234736 	225533 	211480 	198616 	235571 	229204 	236531 	205881 	240157 	203461 	322665 	236985 	: 	: 	246967 	242880 	209942 	220921 	227600 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,BE	79309 b	53044 u	62498 u	82291 	101574 	136899 	151561 	102099 	140132 	130233 	192078 	165525 	142529 	168257 	180802 	182428 	128727 	: 	127909 	137177 	: 	136993 	: 	: 
NR,N_GE4,DOM,Y45-64,BG	387164 	312871 	311665 	262816 	224856 	148970 b	215904 e	202038 e	312448 e	170217 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,CH	: 	153359 u	177726 u	190055 u	153719 u	213311 u	317570 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,CY	22626 e	21207 e	24058 e	20347 e	11495 e	14340 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,CZ	730392 	743854 	698082 	772254 	626084 	562998 	527355 	952933 	776555 e	653608 e	733647 	694746 	616463 	673767 	607168 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,DE	3385279 	3801444 	3919065 	3751040 	3718973 	3682287 	4957332 	4386203 	5879913 e	4183801 	5103198 	5552073 	5833429 	4992000 	4690000 	5030000 	6482000 	6006000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,Y45-64,DK	: 	290980 	298299 	338193 	290188 	285933 	210885 	153089 	188461 	168418 	151831 	151831 	230257 	208574 	209800 	188600 	211100 	184400 	174300 	184400 	183000 	221600 	: 	: 
NR,N_GE4,DOM,Y45-64,EE	: c	: c	30416 	27834 	31805 	27495 b	: u	: u	25476 	: u	19134 e	: u	40071 	: u	26079 e	44270 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,EL	908497 	775595 	796352 	817638 	710509 	744387 	766609 	810490 	1004263 	1029557 	1046071 	1063544 	1094951 	918696 	1041600 	1082632 	1095169 	1152737 	1064614 	: 	1374639 	: 	692874 	692874 
NR,N_GE4,DOM,Y45-64,ES	4084889 	4232071 	3896541 b	3686577 	3822905 	3622908 	3726812 	3569118 	3928757 	3808067 	3922282 	3812729 	3389545 	2855239 	3282552 	3396639 	3234245 	4809335 	4809335 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,FI	397412 	377569 	394644 	420697 	442702 	497516 b	438000 	485000 	481000 	443000 	494000 	444000 	519000 	424000 	489000 	513000 	398000 	400000 	419000 	355000 	410000 	320000 	: 	355000 
NR,N_GE4,DOM,Y45-64,FR	5844263 	6659581 	7059060 	7186148 	6888188 	7285276 	7295459 	7118053 	7027794 	7247428 	7390068 	7046635 	6474777 	5704000 	5597000 	: 	5179000 	5032000 	5179000 	5242000 	5278000 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,HR	264563 	247189 	234061 b	253870 	204718 	201897 	212179 	279818 	239432 	208943 	184280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,HU	: 	507511 	515712 	577748 	521137 	514243 b	467081 	852425 	876750 	954208 	554296 	717872 	913176 	565995 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,IE	95367 	80777 	86131 	91207 	100024 	92657 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23357 	: 	: 
NR,N_GE4,DOM,Y45-64,IT	4222571 	3916813 	4487651 	3952699 b	4231502 	4639145 	4723867 	5148774 	4974061 	4887017 	5401757 	5284606 	5213917 	5064117 	5106545 	5090929 	4972816 	4828241 	4288050 	4518222 	4919736 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,LT	33175 	34636 	41577 	41579 	39615 	34345 	100670 	94821 	19081 	40169 	36934 	44029 	37153 	49451 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,LU	: 	: c	0 u	0 u	304 	127 	0 	159 	: u	: u	: u	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,LV	28129 	37321 	30120 	28308 	30278 	37152 	31210 	56127 	40913 	41174 	52198 	50223 	76872 	69461 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,MT	5666 u	5487 u	3847 	7711 	5665 	6300 b	9345 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,NL	694401 	813355 	791205 	729842 	700802 	765270 b	567000 	587000 	579000 	597000 	595000 	623000 	563000 	613000 	602000 	615000 	640000 	: 	638000 	653000 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,NO	226627 	223500 	: 	: 	184850 	: 	202377 	258152 	258152 	260174 	216823 	272488 	243529 	262327 	309780 	228414 	299313 	286782 	277286 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,PL	2351190 	2282915 	2171745 	2102368 	2260000 	2250000 	1822000 e	1918000 	2106000 	2007000 	1806000 	2029000 	2043000 	2153000 e	2230000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,PT	594815 	575968 	578865 	496801 	538371 	476826 	462306 	469467 	530592 	349273 	418202 	441062 	505853 	500794 	547594 	529677 	535911 	473206 	504045 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,RO	368027 	344863 	391809 	374543 	373832 	369410 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,SE	329119 	268312 	263919 	295090 	: 	686450 	714635 	676796 	653285 	636391 	660633 	678584 	: 	: 	: 	: 	: 	: 	: 	: 	1131000 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,SI	45390 	49585 	44048 	49962 e	50656 e	60199 	69000 	69000 	78000 	69130 	73330 	92374 	64011 	69169 	76882 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,SK	255620 	229685 	165621 	168103 	263244 b	200060 	185948 	239322 	277240 	296099 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y45-64,UK	: 	2765110 	2213800 	3922400 	3222700 	3980000 	4319000 	2982000 	3448000 	3372000 	3131000 	2823000 	2641000 	2690000 	2420000 	4730000 	2880000 	2930000 	3010000 	4600000 	4980000 	5120000 	: 	: 
NR,N_GE4,DOM,Y55-64,AT	122009 	120679 	80725 	92532 	75511 	108031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y55-64,BE	36143 b	: c	: c	46588 	66283 	68819 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,Y55-64,BG	155701 	121724 	123159 	105542 	71775 	59341 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
