unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,NPACK,NO	16018524 	: 	: 	: 
NR,PERS,N1-3,DOM,NPACK,PL	52441981 	: 	: 	41670113 
NR,PERS,N1-3,DOM,NPACK,PT	17236442 	: 	: 	14583354 
NR,PERS,N1-3,DOM,NPACK,RO	22411664 	: 	: 	21473645 
NR,PERS,N1-3,DOM,NPACK,SE	: 	: 	: 	29184639 
NR,PERS,N1-3,DOM,NPACK,SI	2524715 	: 	: 	2673884 
NR,PERS,N1-3,DOM,NPACK,SK	8844234 	: 	: 	5626492 
NR,PERS,N1-3,DOM,PACK,AT	1813724 	: 	: 	2422853 
NR,PERS,N1-3,DOM,PACK,BE	116713 bu	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,BG	218293 	: 	: 	153534 u
NR,PERS,N1-3,DOM,PACK,CH	: 	: 	: u	: u
NR,PERS,N1-3,DOM,PACK,CY	125310 	: 	: 	122658 
NR,PERS,N1-3,DOM,PACK,CZ	176276 u	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,DE	15337130 	: 	: 	18792701 
NR,PERS,N1-3,DOM,PACK,DK	: 	: 	: 	1589432 
NR,PERS,N1-3,DOM,PACK,EA	: 	: 	: 	28084936 e
NR,PERS,N1-3,DOM,PACK,EE	244293 	: 	: 	32754 u
NR,PERS,N1-3,DOM,PACK,EL	: 	: 	: 	221295 
NR,PERS,N1-3,DOM,PACK,ES	3234751 	: 	: 	1910739 
NR,PERS,N1-3,DOM,PACK,EU27	: 	: 	: 	36859294 e
NR,PERS,N1-3,DOM,PACK,EU28	: 	: 	: 	37016570 e
NR,PERS,N1-3,DOM,PACK,FI	298259 u	: 	: 	313971 
NR,PERS,N1-3,DOM,PACK,FR	1920535 	: 	: 	: 
NR,PERS,N1-3,DOM,PACK,HR	: 	: 	: 	176717 
NR,PERS,N1-3,DOM,PACK,HU	246787 	: 	: 	166761 
NR,PERS,N1-3,DOM,PACK,IE	404414 	: 	: 	450957 
NR,PERS,N1-3,DOM,PACK,IT	1286698 u	: 	: 	656975 u
NR,PERS,N1-3,DOM,PACK,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,NL	93395 u	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,NO	559660 	: 	: 	: 
NR,PERS,N1-3,DOM,PACK,PL	116132 u	: 	: 	267350 
NR,PERS,N1-3,DOM,PACK,PT	98068 	: 	: 	150443 
NR,PERS,N1-3,DOM,PACK,RO	161750 	: 	: 	223438 
NR,PERS,N1-3,DOM,PACK,SE	: 	: 	: 	1551171 
NR,PERS,N1-3,DOM,PACK,SI	: c	: 	: 	: u
NR,PERS,N1-3,DOM,PACK,SK	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TOTAL,AT	13388734 	: 	: 	13302874 
NR,PERS,N1-3,DOM,TOTAL,BE	4180516 b	: 	: 	2689760 
NR,PERS,N1-3,DOM,TOTAL,BG	5733767 	: 	: 	4071907 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	: 	6853942 	6967693 
NR,PERS,N1-3,DOM,TOTAL,CY	1949968 	: 	: 	1607076 
NR,PERS,N1-3,DOM,TOTAL,CZ	38692095 	: 	: 	37078080 
NR,PERS,N1-3,DOM,TOTAL,DE	158998081 	: 	: 	161836384 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	: 	: 	30055318 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	662434533 e
NR,PERS,N1-3,DOM,TOTAL,EE	4139192 	: 	: 	3398506 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	: 	: 	3581761 
NR,PERS,N1-3,DOM,TOTAL,ES	177239149 	: 	: 	160529081 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	977320686 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	982225397 e
NR,PERS,N1-3,DOM,TOTAL,FI	39209211 	: 	: 	36961575 
NR,PERS,N1-3,DOM,TOTAL,FR	179119303 	: 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,HR	: 	: 	: 	5327797 
NR,PERS,N1-3,DOM,TOTAL,HU	18161591 	: 	: 	17894808 
NR,PERS,N1-3,DOM,TOTAL,IE	10362955 	: 	: 	8352057 
NR,PERS,N1-3,DOM,TOTAL,IT	41064916 	: 	: 	36329218 
NR,PERS,N1-3,DOM,TOTAL,LT	3227905 	: 	: 	3396253 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	: 	: 	34234 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	4111422 	: 	4115911 
NR,PERS,N1-3,DOM,TOTAL,MT	415493 	405279 	360284 	265489 
NR,PERS,N1-3,DOM,TOTAL,NL	27417182 	: 	: 	29020721 
NR,PERS,N1-3,DOM,TOTAL,NO	16578183 	: 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,PL	52558113 	: 	: 	41937463 
NR,PERS,N1-3,DOM,TOTAL,PT	17334510 	: 	: 	14733797 
NR,PERS,N1-3,DOM,TOTAL,RO	22573414 	: 	: 	21697083 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	: 	: 	30735810 
NR,PERS,N1-3,DOM,TOTAL,SI	2534409 	: 	: 	2693222 
NR,PERS,N1-3,DOM,TOTAL,SK	9037490 	: 	: 	5798469 
NR,PERS,N1-3,DOM,TRA_TO_TA,AT	290360 	: 	: 	177621 
NR,PERS,N1-3,DOM,TRA_TO_TA,BE	133612 bu	: 	: 	57777 u
NR,PERS,N1-3,DOM,TRA_TO_TA,BG	74521 u	: 	: 	115908 u
NR,PERS,N1-3,DOM,TRA_TO_TA,CH	: 	: 	: u	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,CY	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,CZ	153584 u	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,DE	5389740 	: 	: 	5733220 
NR,PERS,N1-3,DOM,TRA_TO_TA,DK	: 	: 	: 	1862580 
NR,PERS,N1-3,DOM,TRA_TO_TA,EA	: 	: 	: 	39107152 e
NR,PERS,N1-3,DOM,TRA_TO_TA,EE	107680 u	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,EL	: 	: 	: 	302486 
NR,PERS,N1-3,DOM,TRA_TO_TA,ES	3798424 	: 	: 	2092769 
NR,PERS,N1-3,DOM,TRA_TO_TA,EU27	: 	: 	: 	50704942 e
NR,PERS,N1-3,DOM,TRA_TO_TA,EU28	: 	: 	: 	50848207 e
NR,PERS,N1-3,DOM,TRA_TO_TA,FI	637609 	: 	: 	406639 
NR,PERS,N1-3,DOM,TRA_TO_TA,FR	59005501 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_TO_TA,HR	: 	: 	: 	179205 
NR,PERS,N1-3,DOM,TRA_TO_TA,HU	226305 	: 	: 	138130 u
NR,PERS,N1-3,DOM,TRA_TO_TA,IE	78086 u	: 	: 	46086 u
NR,PERS,N1-3,DOM,TRA_TO_TA,IT	2015487 	: 	: 	1032085 u
NR,PERS,N1-3,DOM,TRA_TO_TA,LT	: 	: 	: 	18643 u
NR,PERS,N1-3,DOM,TRA_TO_TA,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,NL	154679 u	: 	: 	117325 u
NR,PERS,N1-3,DOM,TRA_TO_TA,PL	116132 u	: 	: 	304018 
NR,PERS,N1-3,DOM,TRA_TO_TA,PT	158066 	: 	: 	328504 
NR,PERS,N1-3,DOM,TRA_TO_TA,RO	135360 	: 	: 	175177 
NR,PERS,N1-3,DOM,TRA_TO_TA,SE	: 	: 	: 	2479761 
NR,PERS,N1-3,DOM,TRA_TO_TA,SI	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,SK	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,AT	1148516 	: 	: 	792485 
NR,PERS,N1-3,DOM,TRA_WEB,BE	349266 b	: 	: 	297131 
NR,PERS,N1-3,DOM,TRA_WEB,BG	103327 u	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,CH	: 	: 	222202 u	258598 u
NR,PERS,N1-3,DOM,TRA_WEB,CY	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,CZ	1034601 	: 	: 	146407 u
NR,PERS,N1-3,DOM,TRA_WEB,DE	28940050 	: 	: 	26459914 
NR,PERS,N1-3,DOM,TRA_WEB,DK	: 	: 	: 	18405304 
NR,PERS,N1-3,DOM,TRA_WEB,EA	: 	: 	: 	55863676 e
NR,PERS,N1-3,DOM,TRA_WEB,EE	355153 	: 	: 	255573 
NR,PERS,N1-3,DOM,TRA_WEB,EL	: 	: 	: 	115169 
NR,PERS,N1-3,DOM,TRA_WEB,ES	10605224 	: 	: 	672707 
NR,PERS,N1-3,DOM,TRA_WEB,EU27	: 	: 	: 	94048224 e
NR,PERS,N1-3,DOM,TRA_WEB,EU28	: 	: 	: 	94013692 e
NR,PERS,N1-3,DOM,TRA_WEB,FI	6620028 	: 	: 	3732857 
NR,PERS,N1-3,DOM,TRA_WEB,FR	19134384 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,HR	: 	: 	: 	69903 u
NR,PERS,N1-3,DOM,TRA_WEB,HU	987616 	: 	: 	414437 
NR,PERS,N1-3,DOM,TRA_WEB,IE	607772 	: 	: 	530085 
NR,PERS,N1-3,DOM,TRA_WEB,IT	6070183 	: 	: 	3352894 
NR,PERS,N1-3,DOM,TRA_WEB,LT	22492 u	: 	: 	35461 
NR,PERS,N1-3,DOM,TRA_WEB,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,NL	259412 	: 	: 	167460 u
NR,PERS,N1-3,DOM,TRA_WEB,PL	1397956 	: 	: 	423053 
NR,PERS,N1-3,DOM,TRA_WEB,PT	443701 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,RO	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,SE	: 	: 	: 	6795871 
NR,PERS,N1-3,DOM,TRA_WEB,SI	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,SK	: c	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_TO_TA,AT	2359495 	: 	: 	2051651 
NR,PERS,N1-3,OUT,ACC_TO_TA,BE	626451 b	: 	: 	962270 
NR,PERS,N1-3,OUT,ACC_TO_TA,BG	214002 	: 	: 	137948 u
NR,PERS,N1-3,OUT,ACC_TO_TA,CH	: 	: 	1278129 	787014 
NR,PERS,N1-3,OUT,ACC_TO_TA,CY	305349 	: 	: 	184452 
NR,PERS,N1-3,OUT,ACC_TO_TA,CZ	453275 	: 	: 	559016 
NR,PERS,N1-3,OUT,ACC_TO_TA,DE	3541451 	: 	: 	4069261 
NR,PERS,N1-3,OUT,ACC_TO_TA,DK	: 	: 	: 	137257 u
NR,PERS,N1-3,OUT,ACC_TO_TA,EA	: 	: 	: 	24014498 e
NR,PERS,N1-3,OUT,ACC_TO_TA,EE	240797 	: 	: 	75251 
NR,PERS,N1-3,OUT,ACC_TO_TA,EL	: 	: 	: 	79378 
NR,PERS,N1-3,OUT,ACC_TO_TA,ES	4158140 	: 	: 	765103 
NR,PERS,N1-3,OUT,ACC_TO_TA,EU27	: 	: 	: 	32981212 e
NR,PERS,N1-3,OUT,ACC_TO_TA,EU28	: 	: 	: 	33428888 e
NR,PERS,N1-3,OUT,ACC_TO_TA,FI	2441974 	: 	: 	2059745 
NR,PERS,N1-3,OUT,ACC_TO_TA,FR	195867 u	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_TO_TA,HR	: 	: 	: 	426457 
NR,PERS,N1-3,OUT,ACC_TO_TA,HU	1604925 	: 	: 	1122636 
NR,PERS,N1-3,OUT,ACC_TO_TA,IE	585805 	: 	: 	265967 
NR,PERS,N1-3,OUT,ACC_TO_TA,IT	1090872 u	: 	: 	876440 u
NR,PERS,N1-3,OUT,ACC_TO_TA,LT	95871 	: 	: 	23068 
NR,PERS,N1-3,OUT,ACC_TO_TA,LU	: 	: 	: 	42720 
NR,PERS,N1-3,OUT,ACC_TO_TA,LV	: 	: 	: 	98947 u
NR,PERS,N1-3,OUT,ACC_TO_TA,MT	151870 	: 	: 	38492 
NR,PERS,N1-3,OUT,ACC_TO_TA,NL	3379186 	: 	: 	3918671 
NR,PERS,N1-3,OUT,ACC_TO_TA,PL	150052 	: 	: 	320474 
NR,PERS,N1-3,OUT,ACC_TO_TA,PT	124690 u	: 	: 	364493 
NR,PERS,N1-3,OUT,ACC_TO_TA,RO	108357 u	: 	: 	79465 u
NR,PERS,N1-3,OUT,ACC_TO_TA,SE	: 	: 	: 	2306798 
NR,PERS,N1-3,OUT,ACC_TO_TA,SI	285578 	: 	: 	272372 
NR,PERS,N1-3,OUT,ACC_TO_TA,SK	229984 u	: 	: 	310587 u
NR,PERS,N1-3,OUT,ACC_WEB,AT	3949878 	: 	: 	3155257 
NR,PERS,N1-3,OUT,ACC_WEB,BE	4231394 b	: 	: 	3236223 
NR,PERS,N1-3,OUT,ACC_WEB,BG	: c	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_WEB,CH	: 	: 	4515357 	3841351 
NR,PERS,N1-3,OUT,ACC_WEB,CY	382477 	: 	: 	173468 
NR,PERS,N1-3,OUT,ACC_WEB,CZ	1140582 	: 	: 	873614 
NR,PERS,N1-3,OUT,ACC_WEB,DE	21054109 	: 	: 	16734161 
NR,PERS,N1-3,OUT,ACC_WEB,DK	: 	: 	: 	1477975 
NR,PERS,N1-3,OUT,ACC_WEB,EA	: 	: 	: 	46150750 e
NR,PERS,N1-3,OUT,ACC_WEB,EE	446744 	: 	: 	393740 
NR,PERS,N1-3,OUT,ACC_WEB,EL	: 	: 	: 	76311 u
NR,PERS,N1-3,OUT,ACC_WEB,ES	5104012 	: 	: 	655003 
NR,PERS,N1-3,OUT,ACC_WEB,EU27	: 	: 	: 	59535922 e
NR,PERS,N1-3,OUT,ACC_WEB,EU28	: 	: 	: 	59994840 e
NR,PERS,N1-3,OUT,ACC_WEB,FI	4750380 	: 	: 	3742509 
NR,PERS,N1-3,OUT,ACC_WEB,FR	7169828 	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_WEB,HR	: 	: 	: 	464546 
NR,PERS,N1-3,OUT,ACC_WEB,HU	778361 	: 	: 	408424 
NR,PERS,N1-3,OUT,ACC_WEB,IE	2451733 	: 	: 	1562680 
NR,PERS,N1-3,OUT,ACC_WEB,IT	4397063 	: 	: 	2886629 
NR,PERS,N1-3,OUT,ACC_WEB,LT	200896 	: 	: 	205792 
NR,PERS,N1-3,OUT,ACC_WEB,LU	: 	: 	: 	570073 
NR,PERS,N1-3,OUT,ACC_WEB,LV	: 	: 	: 	287716 
NR,PERS,N1-3,OUT,ACC_WEB,MT	194051 	: 	: 	68457 
NR,PERS,N1-3,OUT,ACC_WEB,NL	5911186 	: 	: 	5420346 
NR,PERS,N1-3,OUT,ACC_WEB,PL	1157350 	: 	: 	763981 
