unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,TOTAL,SI	1416660 	: 	: 	1472051 
NR,PERS,N1-3,DOM,TOTAL,SK	4440135 	: 	: 	2811721 
NR,PERS,N1-3,DOM,TRA_TO_TA,AT	150048 	: 	: 	96515 
NR,PERS,N1-3,DOM,TRA_TO_TA,BE	55954 bu	: 	: 	39343 u
NR,PERS,N1-3,DOM,TRA_TO_TA,BG	42575 u	: 	: 	47760 u
NR,PERS,N1-3,DOM,TRA_TO_TA,CH	: 	: 	: u	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,CY	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,CZ	61829 u	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,DE	2475634 	: 	: 	2480455 
NR,PERS,N1-3,DOM,TRA_TO_TA,DK	: 	: 	: 	1303198 
NR,PERS,N1-3,DOM,TRA_TO_TA,EA	: 	: 	: 	19153295 e
NR,PERS,N1-3,DOM,TRA_TO_TA,EE	61175 u	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,EL	: 	: 	: 	139883 
NR,PERS,N1-3,DOM,TRA_TO_TA,ES	1826757 	: 	: 	953570 
NR,PERS,N1-3,DOM,TRA_TO_TA,EU27	: 	: 	: 	25551660 e
NR,PERS,N1-3,DOM,TRA_TO_TA,EU28	: 	: 	: 	25632942 e
NR,PERS,N1-3,DOM,TRA_TO_TA,FI	381586 	: 	: 	221443 
NR,PERS,N1-3,DOM,TRA_TO_TA,FR	31445926 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_TO_TA,HR	: 	: 	: 	98250 
NR,PERS,N1-3,DOM,TRA_TO_TA,HU	97924 	: 	: 	59584 u
NR,PERS,N1-3,DOM,TRA_TO_TA,IE	44796 u	: 	: 	23673 u
NR,PERS,N1-3,DOM,TRA_TO_TA,IT	922453 	: 	: 	567104 u
NR,PERS,N1-3,DOM,TRA_TO_TA,LT	: 	: 	: 	9840 u
NR,PERS,N1-3,DOM,TRA_TO_TA,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,NL	83118 u	: 	: 	80927 u
NR,PERS,N1-3,DOM,TRA_TO_TA,PL	57551 u	: 	: 	141601 
NR,PERS,N1-3,DOM,TRA_TO_TA,PT	70803 	: 	: 	188651 
NR,PERS,N1-3,DOM,TRA_TO_TA,RO	70906 	: 	: 	85207 
NR,PERS,N1-3,DOM,TRA_TO_TA,SE	: 	: 	: 	1472450 
NR,PERS,N1-3,DOM,TRA_TO_TA,SI	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_TO_TA,SK	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,AT	563369 	: 	: 	401220 
NR,PERS,N1-3,DOM,TRA_WEB,BE	198128 b	: 	: 	167877 
NR,PERS,N1-3,DOM,TRA_WEB,BG	56043 u	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,CH	: 	: 	140839 u	124308 u
NR,PERS,N1-3,DOM,TRA_WEB,CY	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,CZ	481545 	: 	: 	72277 u
NR,PERS,N1-3,DOM,TRA_WEB,DE	13998302 	: 	: 	12129979 
NR,PERS,N1-3,DOM,TRA_WEB,DK	: 	: 	: 	11879788 
NR,PERS,N1-3,DOM,TRA_WEB,EA	: 	: 	: 	26534064 e
NR,PERS,N1-3,DOM,TRA_WEB,EE	237370 	: 	: 	133787 
NR,PERS,N1-3,DOM,TRA_WEB,EL	: 	: 	: 	46902 
NR,PERS,N1-3,DOM,TRA_WEB,ES	4944490 	: 	: 	244745 
NR,PERS,N1-3,DOM,TRA_WEB,EU27	: 	: 	: 	48914215 e
NR,PERS,N1-3,DOM,TRA_WEB,EU28	: 	: 	: 	48895868 e
NR,PERS,N1-3,DOM,TRA_WEB,FI	3404674 	: 	: 	1890428 
NR,PERS,N1-3,DOM,TRA_WEB,FR	9757777 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,HR	: 	: 	: 	36018 u
NR,PERS,N1-3,DOM,TRA_WEB,HU	443171 	: 	: 	178603 
NR,PERS,N1-3,DOM,TRA_WEB,IE	347476 	: 	: 	288922 
NR,PERS,N1-3,DOM,TRA_WEB,IT	2893441 	: 	: 	1616965 
NR,PERS,N1-3,DOM,TRA_WEB,LT	14169 u	: 	: 	20605 
NR,PERS,N1-3,DOM,TRA_WEB,LU	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,NL	142878 	: 	: 	97674 u
NR,PERS,N1-3,DOM,TRA_WEB,PL	682001 	: 	: 	194891 
NR,PERS,N1-3,DOM,TRA_WEB,PT	206415 	: 	: 	: 
NR,PERS,N1-3,DOM,TRA_WEB,RO	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,SE	: 	: 	: 	3810869 
NR,PERS,N1-3,DOM,TRA_WEB,SI	: c	: 	: 	: u
NR,PERS,N1-3,DOM,TRA_WEB,SK	: c	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_TO_TA,AT	988707 	: 	: 	830094 
NR,PERS,N1-3,OUT,ACC_TO_TA,BE	287969 b	: 	: 	460971 
NR,PERS,N1-3,OUT,ACC_TO_TA,BG	84445 	: 	: 	63828 u
NR,PERS,N1-3,OUT,ACC_TO_TA,CH	: 	: 	516746 	343644 
NR,PERS,N1-3,OUT,ACC_TO_TA,CY	114906 	: 	: 	69188 
NR,PERS,N1-3,OUT,ACC_TO_TA,CZ	194023 	: 	: 	206718 
NR,PERS,N1-3,OUT,ACC_TO_TA,DE	1488278 	: 	: 	1615611 
NR,PERS,N1-3,OUT,ACC_TO_TA,DK	: 	: 	: 	77259 u
NR,PERS,N1-3,OUT,ACC_TO_TA,EA	: 	: 	: 	10432078 e
NR,PERS,N1-3,OUT,ACC_TO_TA,EE	122872 	: 	: 	36925 
NR,PERS,N1-3,OUT,ACC_TO_TA,EL	: 	: 	: 	32451 
NR,PERS,N1-3,OUT,ACC_TO_TA,ES	1774973 	: 	: 	289966 
NR,PERS,N1-3,OUT,ACC_TO_TA,EU27	: 	: 	: 	14365959 e
NR,PERS,N1-3,OUT,ACC_TO_TA,EU28	: 	: 	: 	14593933 e
NR,PERS,N1-3,OUT,ACC_TO_TA,FI	1278563 	: 	: 	1113544 
NR,PERS,N1-3,OUT,ACC_TO_TA,FR	95820 u	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_TO_TA,HR	: 	: 	: 	214583 
NR,PERS,N1-3,OUT,ACC_TO_TA,HU	720825 	: 	: 	512177 
NR,PERS,N1-3,OUT,ACC_TO_TA,IE	236624 	: 	: 	112810 
NR,PERS,N1-3,OUT,ACC_TO_TA,IT	487467 u	: 	: 	385851 u
NR,PERS,N1-3,OUT,ACC_TO_TA,LT	45959 	: 	: 	10523 
NR,PERS,N1-3,OUT,ACC_TO_TA,LU	: 	: 	: 	18674 
NR,PERS,N1-3,OUT,ACC_TO_TA,LV	: 	: 	: 	59394 u
NR,PERS,N1-3,OUT,ACC_TO_TA,MT	56479 	: 	: 	15052 
NR,PERS,N1-3,OUT,ACC_TO_TA,NL	1404857 	: 	: 	1645858 
NR,PERS,N1-3,OUT,ACC_TO_TA,PL	68232 	: 	: 	138494 
NR,PERS,N1-3,OUT,ACC_TO_TA,PT	50969 u	: 	: 	154877 
NR,PERS,N1-3,OUT,ACC_TO_TA,RO	43499 u	: 	: 	29725 u
NR,PERS,N1-3,OUT,ACC_TO_TA,SE	: 	: 	: 	1014553 
NR,PERS,N1-3,OUT,ACC_TO_TA,SI	135847 	: 	: 	132363 
NR,PERS,N1-3,OUT,ACC_TO_TA,SK	103937 u	: 	: 	114585 u
NR,PERS,N1-3,OUT,ACC_WEB,AT	1679807 	: 	: 	1311752 
NR,PERS,N1-3,OUT,ACC_WEB,BE	2008116 b	: 	: 	1504155 
NR,PERS,N1-3,OUT,ACC_WEB,BG	: c	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_WEB,CH	: 	: 	1927823 	1708778 
NR,PERS,N1-3,OUT,ACC_WEB,CY	142184 	: 	: 	67044 
NR,PERS,N1-3,OUT,ACC_WEB,CZ	473106 	: 	: 	359537 
NR,PERS,N1-3,OUT,ACC_WEB,DE	8999903 	: 	: 	6895638 
NR,PERS,N1-3,OUT,ACC_WEB,DK	: 	: 	: 	748904 
NR,PERS,N1-3,OUT,ACC_WEB,EA	: 	: 	: 	20141387 e
NR,PERS,N1-3,OUT,ACC_WEB,EE	232220 	: 	: 	195837 
NR,PERS,N1-3,OUT,ACC_WEB,EL	: 	: 	: 	27706 u
NR,PERS,N1-3,OUT,ACC_WEB,ES	2232357 	: 	: 	249857 
NR,PERS,N1-3,OUT,ACC_WEB,EU27	: 	: 	: 	26100692 e
NR,PERS,N1-3,OUT,ACC_WEB,EU28	: 	: 	: 	26323194 e
NR,PERS,N1-3,OUT,ACC_WEB,FI	2529207 	: 	: 	2018717 
NR,PERS,N1-3,OUT,ACC_WEB,FR	3311157 	: 	: 	: 
NR,PERS,N1-3,OUT,ACC_WEB,HR	: 	: 	: 	222288 
NR,PERS,N1-3,OUT,ACC_WEB,HU	306450 	: 	: 	169862 
NR,PERS,N1-3,OUT,ACC_WEB,IE	1100383 	: 	: 	690766 
NR,PERS,N1-3,OUT,ACC_WEB,IT	1722618 	: 	: 	1227040 
NR,PERS,N1-3,OUT,ACC_WEB,LT	102203 	: 	: 	98490 
NR,PERS,N1-3,OUT,ACC_WEB,LU	: 	: 	: 	265012 
NR,PERS,N1-3,OUT,ACC_WEB,LV	: 	: 	: 	162067 
NR,PERS,N1-3,OUT,ACC_WEB,MT	72239 	: 	: 	25990 
NR,PERS,N1-3,OUT,ACC_WEB,NL	2524078 	: 	: 	2302525 
